num,X,Y,DC,ISI,country
85,1,2,661.3,6.3,Portugal
86,1,2,706.4,9.2,Portugal
87,1,2,706.4,9.2,Portugal
88,1,2,706.4,9.2,Portugal
89,1,2,728.6,8.1,Portugal
90,6,5,80.8,7.8,Portugal
91,6,5,624.2,8.9,Portugal
92,8,6,80.8,7.8,Portugal
93,8,6,488,14.7,Portugal
94,8,6,601.4,10.6,Portugal
95,8,6,638.8,5.8,Portugal
96,4,4,704.4,4.8,Portugal
97,3,4,30.2,2.6,Portugal
98,3,4,15.5,0.7,Portugal
99,3,4,601.4,10.6,Portugal
100,3,4,601.4,10.6,Portugal
101,3,4,601.4,10.6,Portugal
102,3,4,614.5,9,Portugal
103,2,4,647.1,17,Portugal
104,2,4,674.4,8.6,Portugal
105,2,4,9.3,2.9,Portugal
106,4,5,57.3,2.8,Portugal
107,4,5,74.3,7.5,Portugal
108,4,5,631.2,6.3,Portugal
109,4,5,698.6,7.1,Portugal
110,4,5,709.9,7.1,Portugal
111,4,4,57.3,2.8,Portugal
112,3,4,77.5,9,Portugal
113,3,4,704.4,4.8,Portugal
114,3,4,724.3,9.2,Portugal
115,3,4,67.6,3.8,Portugal
116,3,5,67.6,3.8,Portugal
117,3,4,80.8,7.8,Portugal
118,3,4,80.8,7.8,Portugal
119,3,4,86.6,6.2,Portugal
120,3,4,466.6,7.7,Portugal
121,3,4,608.2,10.7,Portugal
122,3,4,608.2,10.7,Portugal
123,3,4,680.7,8.5,Portugal
124,3,4,671.9,3.2,Portugal
125,3,4,692.3,15.9,Portugal
126,3,4,691.8,8.8,Portugal
127,3,5,103.8,5,Portugal
128,3,5,728.6,8.1,Portugal
129,3,5,673.8,5.2,Portugal
130,2,5,691.8,8.8,Portugal
131,4,6,87.2,0.8,Portugal
132,4,6,64.7,4.1,Portugal
133,4,6,102.2,9.6,Portugal
134,4,6,685.2,17.9,Portugal
135,3,5,67.6,3.8,Portugal
136,3,5,594.2,20.3,Portugal
137,3,6,680.7,8.5,Portugal
138,3,6,686.5,7,Portugal
139,9,9,313.4,3.9,Portugal
140,1,4,692.6,7,Portugal
141,2,5,686.5,7,Portugal
142,1,2,513.3,13.2,Portugal
143,8,6,529.8,12.5,Portugal
144,1,2,296.3,8.7,Portugal
145,2,5,513.3,13.2,Portugal
146,6,5,578.8,10.4,Portugal
147,5,4,86.6,6.2,Portugal
148,8,3,671.9,3.2,Portugal
149,2,2,647.1,17,Portugal
150,8,6,685.2,17.9,Portugal
151,6,5,433.3,7.1,Portugal
152,9,9,355.2,7.2,Portugal
153,3,4,424.1,6.2,Portugal
154,5,4,692.3,15.9,Portugal
155,1,5,721.4,8.1,Portugal
156,7,4,647.1,17,Portugal
157,2,4,721.4,8.1,Portugal
158,2,2,654.1,9.6,Portugal
159,2,4,654.1,9.6,Portugal
160,7,4,668,12.2,Portugal
161,7,4,86.6,6.2,Portugal
162,6,4,578.8,10.4,Portugal
163,6,3,100.4,7.8,Portugal
164,8,6,674.4,8.6,Portugal
165,8,5,704.4,4.8,Portugal
166,6,5,55,3,Portugal
167,6,5,654.1,9.6,Portugal
168,6,5,570.5,16.5,Portugal
169,6,5,97.8,12.5,Portugal
170,8,6,578.8,10.4,Portugal
171,5,4,699.6,9.2,Portugal
172,8,6,609.6,6.6,Portugal
173,7,4,601.4,10.6,Portugal
174,4,4,686.5,7,Portugal
175,1,4,624.2,8.9,Portugal
176,1,4,624.2,8.9,Portugal
177,6,5,55.2,2.7,Portugal
178,2,5,631.2,6.3,Portugal
179,2,5,735.7,6.2,Portugal
180,8,6,614.5,9,Portugal
181,1,3,680.7,8.5,Portugal
182,8,6,664.2,3,Portugal
183,5,4,48.3,3.9,Portugal
184,7,4,696.1,11.1,Portugal
185,8,6,586.7,15.1,Portugal
186,2,5,692.6,7,Portugal
187,8,6,102.2,9.6,Portugal
188,1,5,686.5,7,Portugal
189,6,4,89.4,7.9,Portugal
190,7,4,92.4,5.5,Portugal
191,6,5,97.8,12.5,Portugal
192,2,5,578.8,10.4,Portugal
193,2,2,647.1,17,Portugal
194,4,5,699.6,9.2,Portugal
195,2,2,647.1,17,Portugal
196,2,5,586.7,15.1,Portugal
197,6,5,55.2,2.7,Portugal
198,4,5,706.4,9.2,Portugal
199,3,4,692.6,7,Portugal
200,2,4,665.3,0.8,Portugal
201,1,5,692.6,7,Portugal
202,6,5,83.7,7.2,Portugal
203,7,4,32.1,2.1,Portugal
204,8,6,673.8,5.2,Portugal
205,5,6,100.4,7.8,Portugal
206,4,5,706.4,9.2,Portugal
207,2,2,594.2,20.3,Portugal
208,7,5,692.6,7,Portugal
209,6,5,668,12.2,Portugal
210,8,3,685.2,17.9,Portugal
211,4,4,686.9,6.7,Portugal
212,7,4,594.2,20.3,Portugal
213,7,4,692.3,15.9,Portugal
214,7,3,103.8,5,Portugal
215,4,4,80.8,7.8,Portugal
216,4,4,80.8,7.8,Portugal
217,4,4,680.7,8.5,Portugal
218,1,3,709.9,7.1,Portugal
219,4,5,699.6,9.2,Portugal
220,6,5,86.6,6.2,Portugal
221,8,6,631.2,6.3,Portugal
222,3,4,713.9,13.9,Portugal
223,4,3,103.8,5,Portugal
224,2,2,309.9,6.8,Portugal
225,7,4,735.7,6.2,Portugal
226,4,4,728.6,8.1,Portugal
227,7,5,696.1,11.1,Portugal
228,8,6,480.8,11.9,Portugal
229,4,6,728.6,8.1,Portugal
230,8,6,480.8,11.9,Portugal
231,4,4,699.6,9.2,Portugal
232,1,5,728.6,8.1,Portugal
233,6,4,692.6,7,Portugal
234,9,4,671.9,3.2,Portugal
235,4,5,674.4,8.6,Portugal
236,8,6,601.4,10.6,Portugal
237,2,2,674.4,8.6,Portugal
238,1,2,692.6,7,Portugal
239,6,5,674.4,8.6,Portugal
240,7,5,7.9,3.5,Portugal
241,6,3,43.5,3.8,Portugal
242,4,4,85.3,2.3,Portugal
243,2,4,589.9,12.9,Portugal
244,7,4,700.7,13.8,Portugal
245,2,4,700.7,13.8,Portugal
246,3,4,700.7,13.8,Portugal
247,5,4,700.7,13.8,Portugal
248,2,4,503.6,9.6,Portugal
249,8,6,666.7,13.5,Portugal
250,3,4,666.7,13.5,Portugal
251,8,5,666.7,13.5,Portugal
252,8,5,666.7,13.5,Portugal
253,6,5,666.7,13.5,Portugal
254,7,4,565.5,8,Portugal
255,6,3,621.7,6.3,Portugal
256,2,5,694.8,5,Portugal
257,8,6,581.1,11,Portugal
258,4,3,581.1,11,Portugal
259,3,4,692.3,13.7,Portugal
260,7,4,692.3,13.7,Portugal
261,2,4,542,14.4,Portugal
262,3,4,573,8.9,Portugal
263,2,4,573,8.9,Portugal
264,6,3,629.1,7.1,Portugal
265,4,4,684.4,13,Portugal
266,4,4,550.3,14.6,Portugal
267,6,5,607.1,22.7,Portugal
268,2,2,658.2,14.3,Portugal
269,3,4,658.2,14.3,Portugal
270,4,4,658.2,14.3,Portugal
271,2,2,658.2,14.3,Portugal
272,8,6,658.2,14.3,Portugal
273,2,5,658.2,14.3,Portugal
274,4,6,353.5,6.8,Portugal
275,8,6,354.6,5.3,Portugal
276,4,6,352,2,Portugal
277,4,4,349.7,2.6,Portugal
278,3,4,349.7,2.6,Portugal
279,4,4,349.7,2.6,Portugal
280,4,4,349.7,2.6,Portugal
281,4,6,352.6,4.1,Portugal
282,6,5,349.7,2.6,Portugal
283,6,3,353.5,3.4,Portugal
284,3,4,18.7,3.2,Portugal
285,5,4,15.8,6.3,Portugal
286,2,5,411.8,12.3,Portugal
287,7,6,437.7,12.5,Portugal
288,7,4,474.9,9,Portugal
289,7,4,474.9,9,Portugal
290,7,4,474.9,9,Portugal
291,2,5,474.9,9,Portugal
292,9,4,474.9,9,Portugal
293,4,5,466.3,6.3,Portugal
294,7,6,430.8,11,Portugal
295,8,6,440.9,8.5,Portugal
296,7,5,430.8,11,Portugal
297,6,4,290.8,6.4,Portugal
298,8,6,290.8,6.4,Portugal
299,8,6,377.2,12.7,Portugal
300,6,5,233.8,0.4,Portugal
301,6,5,298.1,7.5,Portugal
302,6,5,298.1,7.5,Portugal
303,3,6,232.1,7.1,Portugal
304,3,6,232.1,7.1,Portugal
305,6,5,113.8,3.5,Portugal
306,1,4,714.3,5.7,Portugal
307,7,4,714.3,5.7,Portugal
308,3,4,714.3,5.7,Portugal
309,2,4,758.1,9.9,Portugal
310,2,4,758.1,9.9,Portugal
311,7,4,758.1,9.9,Portugal
312,6,3,758.1,9.9,Portugal
313,2,4,706.6,0.4,Portugal
314,6,5,777.1,8.8,Portugal
315,4,4,777.1,8.8,Portugal
316,3,4,817.5,7.2,Portugal
317,4,5,739.4,8.6,Portugal
318,4,4,739.4,8.6,Portugal
319,6,5,783.5,7.5,Portugal
320,5,4,783.5,7.5,Portugal
321,6,3,783.5,7.5,Portugal
322,1,4,783.5,7.5,Portugal
323,6,5,783.5,7.5,Portugal
324,3,5,822.8,6.8,Portugal
325,6,5,726.9,5.4,Portugal
326,1,4,751.5,8.4,Portugal
327,5,4,751.5,8.4,Portugal
328,6,5,751.5,8.4,Portugal
329,6,5,751.5,8.4,Portugal
330,4,3,751.5,8.4,Portugal
331,3,3,751.5,8.4,Portugal
332,7,4,795.3,8.5,Portugal
333,4,4,795.3,8.5,Portugal
334,1,4,721.1,9.5,Portugal
335,2,3,764,6.2,Portugal
336,4,3,764,6.2,Portugal
337,7,4,764,6.2,Portugal
338,6,3,764,6.2,Portugal
339,8,6,764,6.2,Portugal
340,2,4,764,6.2,Portugal
341,2,5,764,6.2,Portugal
342,8,6,770.3,6.5,Portugal
343,6,3,807.1,7.5,Portugal
344,8,6,807.1,7.5,Portugal
345,6,3,807.1,7.5,Portugal
346,2,2,807.1,7.5,Portugal
347,1,4,807.1,7.5,Portugal
348,5,4,745.3,9.6,Portugal
349,3,4,745.3,9.6,Portugal
350,5,4,745.3,9.6,Portugal
351,5,4,745.3,9.6,Portugal
352,4,4,745.3,9.6,Portugal
353,7,4,745.3,9.6,Portugal
354,7,4,745.3,9.6,Portugal
355,7,4,745.3,9.6,Portugal
356,4,4,745.3,9.6,Portugal
357,4,4,745.3,9.6,Portugal
358,6,3,789.7,10.2,Portugal
359,6,3,789.7,10.2,Portugal
360,1,4,789.7,10.2,Portugal
361,6,5,789.7,10.2,Portugal
362,4,3,789.7,10.2,Portugal
363,7,4,732.3,11.6,Portugal
364,4,3,770.3,6.5,Portugal
365,6,5,770.3,6.5,Portugal
366,6,5,770.3,6.5,Portugal
367,4,5,812.1,12.5,Portugal
368,4,5,812.1,12.5,Portugal
369,6,5,744.4,8.4,Portugal
370,4,5,825.1,7.1,Portugal
371,7,4,825.1,7.1,Portugal
372,3,4,520.5,8,Portugal
373,4,5,664.5,8.1,Portugal
374,5,4,698.6,13.9,Portugal
375,6,5,855.3,7.4,Portugal
376,6,5,744.4,8.4,Portugal
377,8,6,672.6,8.2,Portugal
378,2,2,715.1,8.4,Portugal
379,6,5,30.6,8,Portugal
380,4,5,171.4,0,Portugal
381,5,4,458.8,11.9,Portugal
382,8,6,643,6.8,Portugal
383,8,6,690,18,Portugal
384,9,6,753.8,6.3,Portugal
385,8,4,819.1,7.7,Portugal
386,2,4,613,7.6,Portugal
387,3,4,750.5,11.4,Portugal
388,5,5,30.6,8,Portugal
389,6,4,706.7,12,Portugal
390,7,4,706.7,12,Portugal
391,7,4,58.3,4.1,Portugal
392,8,6,738.1,7.2,Portugal
393,1,3,825.1,7.1,Portugal
394,2,4,25.6,11.4,Portugal
395,6,5,46.7,2.2,Portugal
396,4,5,56.9,3.5,Portugal
397,4,3,750.5,11.4,Portugal
398,5,6,613,7.6,Portugal
399,1,2,715.1,8.4,Portugal
400,9,5,297.7,14,Portugal
401,9,5,297.7,14,Portugal
402,3,4,731.7,8.3,Portugal
403,9,9,706.7,12,Portugal
404,8,6,643,6.8,Portugal
405,2,4,725.1,3.7,Portugal
406,2,2,680.9,9.5,Portugal
407,6,5,860.6,4,Portugal
408,4,5,55,2.9,Portugal
409,4,3,855.3,7.4,Portugal
410,1,4,450.2,12.1,Portugal
411,6,3,52.8,2.7,Portugal
412,7,4,43.6,3.3,Portugal
413,9,4,442.1,9.8,Portugal
414,7,5,715.1,8.4,Portugal
415,5,4,723.1,10.1,Portugal
416,8,6,698.6,13.9,Portugal
417,6,3,575.8,8.9,Portugal
418,6,5,28.3,9.9,Portugal
419,2,4,664.5,8.1,Portugal
420,2,5,613,7.6,Portugal
421,8,8,635.9,7.8,Portugal
422,2,4,690,18,Portugal
423,8,6,795.9,5.2,Portugal
424,1,3,744.4,8.4,Portugal
425,8,6,715.1,8.4,Portugal
426,2,2,753.8,6.3,Portugal
427,8,6,753.8,6.3,Portugal
428,2,4,672.6,8.2,Portugal
429,1,3,698.6,13.9,Portugal
430,3,4,613,7.6,Portugal
431,7,4,849.3,6.8,Portugal
432,1,3,605.3,9.6,Portugal
433,8,6,698.6,13.9,Portugal
434,2,4,723.1,10.1,Portugal
435,1,4,811.2,5.5,Portugal
436,2,5,376.6,5.6,Portugal
437,8,6,672.6,8.2,Portugal
438,8,6,768.4,9.7,Portugal
439,2,5,715.1,8.4,Portugal
440,1,3,738.1,7.2,Portugal
441,5,4,855.3,7.4,Portugal
442,8,6,672.6,8.2,Portugal
443,6,5,41.6,3.7,Portugal
444,1,2,368.3,16.8,Portugal
445,2,5,855.3,7.4,Portugal
446,5,5,100.7,10.7,Portugal
447,6,5,664.5,8.1,Portugal
448,3,4,28.3,9.9,Portugal
449,7,4,844,10.1,Portugal
450,7,4,613,7.6,Portugal
451,4,5,690,18,Portugal
452,1,4,649.9,16.3,Portugal
453,7,4,730.6,7.5,Portugal
454,4,5,803.3,5.6,Portugal
455,3,4,753.8,6.3,Portugal
456,3,4,567.2,16.7,Portugal
457,2,4,753.8,6.3,Portugal
458,1,4,635.9,7.8,Portugal
459,8,6,715.1,8.4,Portugal
460,7,4,819.1,7.7,Portugal
461,2,5,715.1,8.4,Portugal
462,8,6,715.1,8.4,Portugal
463,1,4,825.1,7.1,Portugal
464,6,5,16.2,1.9,Portugal
465,6,4,16.2,1.9,Portugal
466,2,2,15.3,1.8,Portugal
467,6,5,36.9,7.1,Portugal
468,3,4,41.1,7.3,Portugal
469,6,5,43.5,8.5,Portugal
470,6,3,25.6,12.3,Portugal
471,5,4,25.6,12.3,Portugal
472,4,3,73.7,5.7,Portugal
473,8,3,229,4.7,Portugal
474,9,4,252.6,9.4,Portugal
475,4,3,316.7,10.8,Portugal
476,2,5,350.2,18,Portugal
477,4,3,395,9.9,Portugal
478,4,3,423.4,14.7,Portugal
479,7,4,423.4,14.7,Portugal
480,7,4,431.6,6.4,Portugal
481,9,9,560,9.5,Portugal
482,4,3,560,9.5,Portugal
483,3,4,587.1,14.1,Portugal
484,8,6,587.1,14.1,Portugal
485,2,5,587.1,14.1,Portugal
486,2,4,596.3,21.3,Portugal
487,5,4,605.8,17.7,Portugal
488,5,4,605.8,17.7,Portugal
489,4,4,605.8,17.7,Portugal
490,4,4,605.8,17.7,Portugal
491,4,4,605.8,17.7,Portugal
492,4,4,624.1,13.8,Portugal
493,1,3,633.6,11.3,Portugal
494,1,3,633.6,11.3,Portugal
495,6,6,643,14,Portugal
496,6,6,661.8,16.8,Portugal
497,4,5,661.8,16.8,Portugal
498,3,4,671.2,14.3,Portugal
499,6,5,671.2,14.3,Portugal
500,7,5,671.2,14.3,Portugal
501,8,6,671.2,14.3,Portugal
502,7,5,671.2,14.3,Portugal
503,4,4,671.2,14.3,Portugal
504,2,4,689.1,20,Portugal
505,4,3,689.1,20,Portugal
506,1,2,744.4,10.1,Portugal
507,1,2,752.6,7.1,Portugal
508,2,4,752.6,7.1,Portugal
509,1,2,752.6,7.1,Portugal
510,5,4,752.6,7.1,Portugal
511,6,5,752.6,7.1,Portugal
512,8,6,665.6,1.9,Portugal
513,4,3,665.6,1.9,Portugal
514,2,4,665.6,1.9,Portugal
515,7,4,665.6,1.9,Portugal
516,1,4,614.7,11.3,Portugal
517,6,3,106.7,1.1,Portugal
518,4,2,567.2,16.7,Brazil
519,3,4,753.8,6.3,Brazil
520,1,4,635.9,7.8,Brazil
521,2,5,715.1,8.4,Brazil
522,6,6,819.1,7.7,Brazil
523,4,3,715.1,8.4,Brazil
524,8,6,715.1,8.4,Brazil
525,1,3,825.1,7.1,Brazil
526,1,4,16.2,1.9,Brazil
527,5,3,16.2,1.9,Brazil
528,7,6,15.3,1.8,Brazil
529,6,2,36.9,7.1,Brazil
530,3,4,41.1,7.3,Brazil
531,5,4,43.5,8.5,Brazil
532,2,2,25.6,12.3,Brazil
533,3,2,25.6,12.3,Brazil
534,5,6,73.7,5.7,Brazil
535,5,5,229,4.7,Brazil
536,7,5,252.6,9.4,Brazil
537,1,5,316.7,10.8,Brazil
538,8,6,350.2,18,Brazil
539,6,3,395,9.9,Brazil
540,8,2,423.4,14.7,Brazil
541,7,5,423.4,14.7,Brazil
542,3,3,672.6,8.2,Brazil
543,3,2,41.6,3.7,Brazil
544,1,3,368.3,16.8,Brazil
545,3,3,855.3,7.4,Brazil
546,5,6,100.7,10.7,Brazil
547,6,6,664.5,8.1,Brazil
548,8,5,28.3,9.9,Brazil
549,8,2,844,10.1,Brazil
550,1,2,613,7.6,Brazil
551,8,2,690,18,Brazil
552,8,3,649.9,16.3,Brazil
553,3,2,730.6,7.5,Brazil
554,6,5,803.3,5.6,Brazil
555,8,4,753.8,6.3,Brazil
556,6,3,567.2,16.7,Brazil
557,2,2,753.8,6.3,Brazil
558,5,2,635.9,7.8,Brazil
559,7,5,715.1,8.4,Brazil
560,7,6,819.1,7.7,Brazil
561,8,4,715.1,8.4,Brazil
562,5,4,715.1,8.4,Brazil
563,7,4,825.1,7.1,Brazil
564,2,3,16.2,1.9,Brazil
565,6,5,16.2,1.9,Brazil
566,8,6,15.3,1.8,Brazil
567,4,3,36.9,7.1,Brazil
568,2,4,41.1,7.3,Brazil
569,1,3,43.5,8.5,Brazil
570,3,2,25.6,12.3,Brazil
571,7,5,25.6,12.3,Brazil
572,3,6,73.7,5.7,Brazil
573,2,6,229,4.7,Brazil
574,6,4,252.6,9.4,Brazil
575,7,2,316.7,10.8,Brazil
576,3,2,350.2,18,Brazil
577,7,4,395,9.9,Brazil
578,2,4,423.4,14.7,Brazil
579,3,4,423.4,14.7,Brazil
580,6,6,431.6,6.4,Brazil
581,6,5,560,9.5,Brazil
582,1,4,560,9.5,Brazil
583,3,3,587.1,14.1,Brazil
584,6,6,587.1,14.1,Brazil
585,3,4,587.1,14.1,Brazil
586,6,3,596.3,21.3,Brazil
587,6,3,605.8,17.7,Brazil
588,8,5,605.8,17.7,Brazil
589,8,4,605.8,17.7,Brazil
590,3,2,605.8,17.7,Brazil
591,1,4,605.8,17.7,Brazil
592,5,2,624.1,13.8,Brazil
593,7,3,633.6,11.3,Brazil
594,8,6,633.6,11.3,Brazil
595,1,5,643,14,Brazil
596,3,6,661.8,16.8,Brazil
597,8,4,661.8,16.8,Brazil
598,6,2,671.2,14.3,Brazil
599,1,3,671.2,14.3,Brazil
600,1,6,671.2,14.3,Brazil
601,3,5,671.2,14.3,Brazil
602,2,2,671.2,14.3,Brazil
603,3,5,671.2,14.3,Brazil
604,8,2,689.1,20,Brazil
605,6,6,689.1,20,Brazil
606,3,4,744.4,10.1,Brazil
607,3,5,752.6,7.1,Brazil
608,2,5,752.6,7.1,Brazil
609,6,4,752.6,7.1,Brazil
610,5,6,752.6,7.1,Brazil
611,4,6,752.6,7.1,Brazil
612,8,6,665.6,1.9,Brazil
613,8,4,665.6,1.9,Brazil
614,1,4,665.6,1.9,Brazil
615,1,5,665.6,1.9,Brazil
616,4,6,614.7,11.3,Brazil
617,1,4,106.7,1.1,Brazil
618,3,5,567.2,16.7,Brazil
619,1,3,753.8,6.3,Brazil
620,3,6,635.9,7.8,Brazil
621,5,3,715.1,8.4,Brazil
622,4,2,819.1,7.7,Brazil
623,2,3,715.1,8.4,Brazil
624,3,5,715.1,8.4,Brazil
625,6,3,825.1,7.1,Brazil
626,3,5,16.2,1.9,Brazil
627,5,3,672.6,8.2,Brazil
628,4,4,41.6,3.7,Brazil
629,2,2,368.3,16.8,Brazil
630,3,3,855.3,7.4,Brazil
631,8,2,100.7,10.7,Brazil
632,6,2,664.5,8.1,Brazil
633,6,5,28.3,9.9,Brazil
634,6,5,844,10.1,Brazil
635,6,2,613,7.6,Brazil
636,8,5,690,18,Brazil
637,8,3,649.9,16.3,Brazil
638,2,4,730.6,7.5,Brazil
639,2,4,803.3,5.6,Brazil
640,3,3,753.8,6.3,Brazil
641,3,5,567.2,16.7,Brazil
642,2,6,753.8,6.3,Brazil
643,5,6,635.9,7.8,Brazil
644,4,2,715.1,8.4,Brazil
645,4,5,819.1,7.7,Brazil
646,4,5,715.1,8.4,Brazil
647,6,4,715.1,8.4,Brazil
648,5,2,825.1,7.1,Brazil
649,3,4,16.2,1.9,Brazil
650,6,5,16.2,1.9,Brazil
651,4,6,15.3,1.8,Brazil
652,8,5,36.9,7.1,Brazil
653,3,3,41.1,7.3,Brazil
654,6,4,43.5,8.5,Brazil
655,3,5,25.6,12.3,Brazil
656,6,2,25.6,12.3,Brazil
657,5,4,73.7,5.7,Brazil
658,1,3,229,4.7,Brazil
659,7,6,252.6,9.4,Brazil
660,5,4,316.7,10.8,Brazil
661,2,3,350.2,18,Brazil
662,5,2,395,9.9,Brazil
663,4,3,423.4,14.7,Brazil
664,4,3,423.4,14.7,Brazil
665,7,6,431.6,6.4,Brazil
666,5,5,560,9.5,Brazil
667,2,6,560,9.5,Brazil
668,5,3,587.1,14.1,Brazil
669,3,6,587.1,14.1,Brazil
670,8,6,587.1,14.1,Brazil
671,5,2,596.3,21.3,Brazil
672,7,3,605.8,17.7,Brazil
673,4,4,605.8,17.7,Brazil
674,1,2,605.8,17.7,Brazil
675,1,3,605.8,17.7,Brazil
676,4,6,605.8,17.7,Brazil
677,2,6,624.1,13.8,Brazil
678,6,5,633.6,11.3,Brazil
679,7,6,633.6,11.3,Brazil
680,2,2,643,14,Brazil
681,4,4,661.8,16.8,Brazil
682,8,6,661.8,16.8,Brazil
683,4,6,671.2,14.3,Brazil
684,5,6,671.2,14.3,Brazil
685,4,5,671.2,14.3,Brazil
686,8,6,671.2,14.3,Brazil
687,3,3,671.2,14.3,Brazil
688,2,2,671.2,14.3,Brazil
689,4,3,689.1,20,Brazil
690,5,6,689.1,20,Brazil
691,2,3,744.4,10.1,Brazil
692,3,6,752.6,7.1,Brazil
693,2,6,752.6,7.1,Brazil
694,7,2,752.6,7.1,Brazil
695,2,2,752.6,7.1,Brazil
696,1,5,752.6,7.1,Brazil
697,8,5,665.6,1.9,Brazil
698,7,2,665.6,1.9,Brazil
699,3,2,665.6,1.9,Brazil
700,4,6,665.6,1.9,Brazil
701,7,3,614.7,11.3,Brazil
702,8,5,106.7,1.1,Brazil
703,3,5,567.2,16.7,Brazil
704,3,6,753.8,6.3,Brazil
705,4,3,635.9,7.8,Brazil
706,8,4,715.1,8.4,Brazil
707,6,5,819.1,7.7,Brazil
708,3,5,715.1,8.4,Brazil
709,1,2,715.1,8.4,Brazil
710,5,2,825.1,7.1,Brazil
711,1,3,16.2,1.9,Brazil
712,5,6,16.2,1.9,Brazil
713,7,2,15.3,1.8,Brazil
714,3,6,36.9,7.1,Brazil
715,6,3,41.1,7.3,Brazil
716,8,2,43.5,8.5,Brazil
717,3,4,25.6,12.3,Brazil
718,6,4,25.6,12.3,Brazil
719,2,6,73.7,5.7,Brazil
720,2,5,229,4.7,Brazil
721,8,2,252.6,9.4,Brazil
722,2,6,316.7,10.8,Brazil
723,3,3,350.2,18,Brazil
724,6,2,395,9.9,Brazil
725,1,3,423.4,14.7,Brazil
726,7,3,423.4,14.7,Brazil
727,6,5,672.6,8.2,Brazil
728,6,6,41.6,3.7,Brazil
729,4,3,368.3,16.8,Brazil
730,7,6,855.3,7.4,Brazil
731,1,2,100.7,10.7,Brazil
732,5,5,664.5,8.1,Brazil
733,8,5,28.3,9.9,Brazil
734,3,2,844,10.1,Brazil
735,7,2,613,7.6,Brazil
736,2,4,690,18,Brazil
737,1,3,649.9,16.3,Brazil
738,8,4,730.6,7.5,Brazil
739,6,5,803.3,5.6,Brazil
740,4,2,753.8,6.3,Brazil
741,7,6,567.2,16.7,Brazil
742,2,5,753.8,6.3,Brazil
743,3,5,635.9,7.8,Brazil
744,5,2,715.1,8.4,Brazil
745,3,6,819.1,7.7,Brazil
746,3,6,715.1,8.4,Brazil
747,1,2,715.1,8.4,Brazil
748,8,2,825.1,7.1,Brazil
749,5,3,16.2,1.9,Brazil
750,3,4,16.2,1.9,Brazil
