num,X,Y,month,day,FFMC,DMC,temp,RH,wind,rain,area,passenger,country
99,3,4,aug,sun,91.4,142.4,11.6,87,4.5,0,0,930,Portugal
100,3,4,aug,sun,91.4,142.4,19.8,39,5.4,0,0,866,Portugal
101,3,4,aug,sun,91.4,142.4,19.8,39,5.4,0,0,951,Portugal
102,3,4,aug,tue,88.8,147.3,14.4,66,5.4,0,0,70,Portugal
103,2,4,aug,tue,94.8,108.3,20.1,40,4,0,0,745,Portugal
104,2,4,sep,sat,92.5,121.1,24.1,29,4.5,0,0,787,Portugal
105,2,4,jan,sat,82.1,3.7,5.3,78,3.1,0,0,254,Portugal
106,4,5,mar,fri,85.9,19.5,12.7,52,6.3,0,0,613,Portugal
107,4,5,mar,thu,91.4,30.7,18.2,29,3.1,0,0,964,Portugal
108,4,5,aug,sun,90.2,99.6,21.4,33,3.1,0,0,139,Portugal
109,4,5,sep,sat,92.5,88,20.3,45,3.1,0,0,155,Portugal
110,4,5,sep,mon,88.6,91.8,17.4,56,5.4,0,0,869,Portugal
111,4,4,mar,fri,85.9,19.5,13.7,43,5.8,0,0,439,Portugal
112,3,4,mar,fri,91.7,33.3,18.8,18,4.5,0,0,73,Portugal
113,3,4,sep,sun,89.7,90,22.8,39,3.6,0,0,638,Portugal
114,3,4,sep,mon,91.8,78.5,18.9,35,2.7,0,0,312,Portugal
115,3,4,mar,tue,88.1,25.7,15.8,27,7.6,0,0,340,Portugal
116,3,5,mar,tue,88.1,25.7,15.5,27,6.3,0,0,563,Portugal
117,3,4,mar,sat,91.7,35.8,11.6,30,6.3,0,0,915,Portugal
118,3,4,mar,sat,91.7,35.8,15.2,27,4.9,0,0,720,Portugal
119,3,4,mar,mon,90.1,39.7,10.6,30,4,0,0,233,Portugal
120,3,4,aug,thu,93,75.3,19.6,36,3.1,0,0,979,Portugal
121,3,4,aug,mon,91.5,145.4,10.3,74,2.2,0,0,253,Portugal
122,3,4,aug,mon,91.5,145.4,17.1,43,5.4,0,0,839,Portugal
123,3,4,sep,sun,92.4,124.1,22.5,42,5.4,0,0,553,Portugal
124,3,4,sep,tue,84.4,73.4,17.9,45,3.1,0,0,144,Portugal
125,3,4,sep,fri,94.3,85.1,19.8,50,5.4,0,0,994,Portugal
126,3,4,oct,sun,92.6,46.5,20.6,24,5.4,0,0,243,Portugal
127,3,5,mar,mon,87.6,52.2,9,49,2.2,0,0,562,Portugal
128,3,5,sep,fri,93.5,149.3,17.2,43,3.1,0,0,870,Portugal
129,3,5,oct,wed,91.4,37.9,15.9,46,3.6,0,0,264,Portugal
130,2,5,oct,sun,92.6,46.5,15.4,35,0.9,0,0,134,Portugal
131,4,6,feb,sat,68.2,21.5,15.4,40,2.7,0,0,293,Portugal
132,4,6,mar,mon,87.2,23.9,14,39,3.1,0,0,981,Portugal
133,4,6,mar,sun,89.3,51.3,10.6,46,4.9,0,0,573,Portugal
134,4,6,sep,thu,93.7,80.9,17.6,42,3.1,0,0,232,Portugal
135,3,5,mar,tue,88.1,25.7,14.9,38,2.7,0,0,194,Portugal
136,3,5,aug,sat,93.5,139.4,17.6,52,5.8,0,0,841,Portugal
137,3,6,sep,sun,92.4,124.1,17.2,58,1.3,0,0,318,Portugal
138,3,6,sep,mon,90.9,126.5,15.6,66,3.1,0,0,746,Portugal
139,9,9,jul,tue,85.8,48.3,18,42,2.7,0,0.36,546,Portugal
140,1,4,sep,tue,91,129.5,21.7,38,2.2,0,0.43,722,Portugal
141,2,5,sep,mon,90.9,126.5,21.9,39,1.8,0,0.47,704,Portugal
142,1,2,aug,wed,95.5,99.9,23.3,31,4.5,0,0.55,228,Portugal
143,8,6,aug,fri,90.1,108,21.2,51,8.9,0,0.61,455,Portugal
144,1,2,jul,sat,90,51.3,16.6,53,5.4,0,0.71,933,Portugal
145,2,5,aug,wed,95.5,99.9,23.8,32,5.4,0,0.77,362,Portugal
146,6,5,aug,thu,95.2,131.7,27.4,22,4,0,0.9,777,Portugal
147,5,4,mar,mon,90.1,39.7,13.2,40,5.4,0,0.95,196,Portugal
148,8,3,sep,tue,84.4,73.4,24.2,28,3.6,0,0.96,928,Portugal
149,2,2,aug,tue,94.8,108.3,17.4,43,6.7,0,1.07,809,Portugal
150,8,6,sep,thu,93.7,80.9,23.7,25,4.5,0,1.12,420,Portugal
151,6,5,jun,fri,92.5,56.4,23.2,39,5.4,0,1.19,763,Portugal
152,9,9,jul,sun,90.1,68.6,24.8,29,2.2,0,1.36,600,Portugal
153,3,4,jul,sat,90.1,51.2,24.6,43,1.8,0,1.43,351,Portugal
154,5,4,sep,fri,94.3,85.1,20.1,47,4.9,0,1.46,650,Portugal
155,1,5,sep,sat,93.4,145.4,29.6,27,2.7,0,1.46,830,Portugal
156,7,4,aug,sun,94.8,108.3,16.4,47,1.3,0,1.56,185,Portugal
157,2,4,sep,sat,93.4,145.4,28.6,27,2.2,0,1.61,573,Portugal
158,2,2,aug,wed,92.1,111.2,18.4,45,3.6,0,1.63,61,Portugal
159,2,4,aug,wed,92.1,111.2,20.5,35,4,0,1.64,253,Portugal
160,7,4,sep,fri,92.4,117.9,19,34,5.8,0,1.69,95,Portugal
161,7,4,mar,mon,90.1,39.7,16.1,29,3.1,0,1.75,176,Portugal
162,6,4,aug,thu,95.2,131.7,20.3,41,4,0,1.9,229,Portugal
163,6,3,mar,sat,90.6,50.1,15.2,31,8.5,0,1.94,511,Portugal
164,8,6,sep,sat,92.5,121.1,17.8,56,1.8,0,1.95,636,Portugal
165,8,5,sep,sun,89.7,90,17.8,67,2.2,0,2.01,178,Portugal
166,6,5,mar,thu,84.9,18.2,5.3,70,4.5,0,2.14,185,Portugal
167,6,5,aug,wed,92.1,111.2,16.6,47,0.9,0,2.29,384,Portugal
168,6,5,aug,wed,96,127.1,23.4,33,4.5,0,2.51,118,Portugal
169,6,5,mar,fri,91.2,48.3,14.6,26,9.4,0,2.53,732,Portugal
170,8,6,aug,thu,95.2,131.7,20.7,45,2.2,0,2.55,698,Portugal
171,5,4,sep,wed,92.9,133.3,21.9,35,1.8,0,2.57,233,Portugal
172,8,6,aug,wed,85.6,90.4,17.4,50,4,0,2.69,448,Portugal
173,7,4,aug,sun,91.4,142.4,20.1,39,5.4,0,2.74,831,Portugal
174,4,4,sep,mon,90.9,126.5,17.7,39,2.2,0,3.07,514,Portugal
175,1,4,aug,sat,90.2,96.9,14.2,53,1.8,0,3.5,435,Portugal
176,1,4,aug,sat,90.2,96.9,20.3,39,4.9,0,4.53,814,Portugal
177,6,5,apr,thu,81.5,9.1,5.8,54,5.8,0,4.61,180,Portugal
178,2,5,aug,sun,90.2,99.6,19.2,44,2.7,0,4.69,832,Portugal
179,2,5,sep,wed,90.1,82.9,18.3,45,2.2,0,4.88,421,Portugal
180,8,6,aug,tue,88.8,147.3,14.4,66,5.4,0,5.23,738,Portugal
181,1,3,sep,sun,92.4,124.1,23.9,32,6.7,0,5.33,501,Portugal
182,8,6,oct,mon,84.9,32.8,19.1,32,4,0,5.44,483,Portugal
183,5,4,feb,sun,86.8,15.6,12.4,53,2.2,0,6.38,230,Portugal
184,7,4,oct,mon,91.7,48.5,16.8,45,4.5,0,6.83,498,Portugal
185,8,6,aug,fri,93.9,135.7,20.8,34,4.9,0,6.96,726,Portugal
186,2,5,sep,tue,91,129.5,17.6,46,3.1,0,7.04,797,Portugal
187,8,6,mar,sun,89.3,51.3,11.5,39,5.8,0,7.19,163,Portugal
188,1,5,sep,mon,90.9,126.5,21,42,2.2,0,7.3,55,Portugal
189,6,4,mar,sat,90.8,41.9,13.3,42,0.9,0,7.4,737,Portugal
190,7,4,mar,sun,90.7,44,11.5,60,4,0,8.24,217,Portugal
191,6,5,mar,fri,91.2,48.3,11.7,33,4,0,8.31,875,Portugal
192,2,5,aug,thu,95.2,131.7,24.2,28,2.7,0,8.68,218,Portugal
193,2,2,aug,tue,94.8,108.3,24.6,22,4.5,0,8.71,533,Portugal
194,4,5,sep,wed,92.9,133.3,24.3,25,4,0,9.41,97,Portugal
195,2,2,aug,tue,94.8,108.3,24.6,22,4.5,0,10.01,282,Portugal
196,2,5,aug,fri,93.9,135.7,23.5,36,5.4,0,10.02,220,Portugal
197,6,5,apr,thu,81.5,9.1,5.8,54,5.8,0,10.93,720,Portugal
198,4,5,sep,thu,92.9,137,21.5,15,0.9,0,11.06,354,Portugal
199,3,4,sep,tue,91,129.5,13.9,59,6.3,0,11.24,85,Portugal
200,2,4,sep,mon,63.5,70.8,22.6,38,3.6,0,11.32,116,Portugal
201,1,5,sep,tue,91,129.5,21.6,33,2.2,0,11.53,549,Portugal
202,6,5,mar,sun,90.1,37.6,12.4,54,3.6,0,12.1,166,Portugal
203,7,4,feb,sun,83.9,8.7,8.8,68,2.2,0,13.05,555,Portugal
204,8,6,oct,wed,91.4,37.9,20.2,37,2.7,0,13.7,952,Portugal
205,5,6,mar,sat,90.6,50.1,15.1,64,4,0,13.99,547,Portugal
206,4,5,sep,thu,92.9,137,22.1,34,1.8,0,14.57,66,Portugal
207,2,2,aug,sat,93.5,139.4,22.9,31,7.2,0,15.45,968,Portugal
208,7,5,sep,tue,91,129.5,20.7,37,2.2,0,17.2,582,Portugal
209,6,5,sep,fri,92.4,117.9,19.6,33,6.3,0,19.23,867,Portugal
210,8,3,sep,thu,93.7,80.9,23.2,26,4.9,0,23.41,828,Portugal
211,4,4,oct,sat,90.6,43.7,18.4,25,3.1,0,24.23,803,Portugal
212,7,4,aug,sat,93.5,139.4,5.1,96,5.8,0,26,423,Portugal
213,7,4,sep,fri,94.3,85.1,20.1,47,4.9,0,26.13,763,Portugal
214,7,3,mar,mon,87.6,52.2,11,46,5.8,0,27.35,867,Portugal
215,4,4,mar,sat,91.7,35.8,17,27,4.9,0,28.66,996,Portugal
216,4,4,mar,sat,91.7,35.8,17,27,4.9,0,28.66,600,Portugal
217,4,4,sep,sun,92.4,124.1,16.9,60,1.3,0,29.48,318,Portugal
218,1,3,sep,mon,88.6,91.8,12.4,73,6.3,0,30.32,842,Portugal
219,4,5,sep,wed,92.9,133.3,19.4,19,1.3,0,31.72,152,Portugal
220,6,5,mar,mon,90.1,39.7,15.2,27,3.1,0,31.86,713,Portugal
221,8,6,aug,sun,90.2,99.6,16.2,59,3.1,0,32.07,138,Portugal
222,3,4,sep,fri,93.3,141.2,18.6,49,3.6,0,35.88,592,Portugal
223,4,3,mar,mon,87.6,52.2,11,46,5.8,0,36.85,546,Portugal
224,2,2,jul,fri,88.3,150.3,13.4,79,3.6,0,37.02,462,Portugal
225,7,4,sep,wed,90.1,82.9,15.4,57,4.5,0,37.71,212,Portugal
226,4,4,sep,sun,93.5,149.3,22.9,39,4.9,0,48.55,649,Portugal
227,7,5,oct,mon,91.7,48.5,16.1,44,4,0,49.37,516,Portugal
228,8,6,aug,sat,92.2,81.8,20.1,34,4.5,0,58.3,534,Portugal
229,4,6,sep,sun,93.5,149.3,28.3,26,3.1,0,64.1,563,Portugal
230,8,6,aug,sat,92.2,81.8,16.4,43,4,0,71.3,798,Portugal
231,4,4,sep,wed,92.9,133.3,26.4,21,4.5,0,88.49,883,Portugal
232,1,5,sep,sun,93.5,149.3,27.8,27,3.1,0,95.18,482,Portugal
233,6,4,sep,tue,91,129.5,18.7,43,2.7,0,103.39,339,Portugal
234,9,4,sep,tue,84.4,73.4,24.3,36,3.1,0,105.66,647,Portugal
235,4,5,sep,sat,92.5,121.1,17.7,25,3.1,0,154.88,426,Portugal
236,8,6,aug,sun,91.4,142.4,19.6,41,5.8,0,196.48,374,Portugal
237,2,2,sep,sat,92.5,121.1,18.2,46,1.8,0,200.94,681,Portugal
238,1,2,sep,tue,91,129.5,18.8,40,2.2,0,212.88,478,Portugal
239,6,5,sep,sat,92.5,121.1,25.1,27,4,0,1090.84,64,Portugal
240,7,5,apr,sun,81.9,3,13.4,75,1.8,0,0,313,Portugal
241,6,3,apr,wed,88,17.2,15.2,51,2.7,0,0,483,Portugal
242,4,4,apr,fri,83,23.3,16.7,20,3.1,0,0,237,Portugal
243,2,4,aug,sun,94.2,122.3,15.4,66,4,0,10.13,355,Portugal
244,7,4,aug,sun,91.8,175.1,21.9,73,7.6,1,0,60,Portugal
245,2,4,aug,sun,91.8,175.1,22.4,54,7.6,0,2.87,289,Portugal
246,3,4,aug,sun,91.8,175.1,26.8,38,6.3,0,0.76,473,Portugal
247,5,4,aug,sun,91.8,175.1,25.7,39,5.4,0,0.09,222,Portugal
248,2,4,aug,wed,92.2,91.6,20.7,70,2.2,0,0.75,336,Portugal
249,8,6,aug,wed,93.1,157.3,28.7,28,2.7,0,0,770,Portugal
250,3,4,aug,wed,93.1,157.3,21.7,40,0.4,0,2.47,708,Portugal
251,8,5,aug,wed,93.1,157.3,26.8,25,3.1,0,0.68,407,Portugal
252,8,5,aug,wed,93.1,157.3,24,36,3.1,0,0.24,114,Portugal
253,6,5,aug,wed,93.1,157.3,22.1,37,3.6,0,0.21,154,Portugal
254,7,4,aug,thu,91.9,109.2,21.4,38,2.7,0,1.52,582,Portugal
255,6,3,aug,thu,91.6,138.1,18.9,41,3.1,0,10.34,631,Portugal
256,2,5,aug,thu,87.5,77,22.3,46,4,0,0,369,Portugal
257,8,6,aug,sat,94.2,117.2,23.9,41,2.2,0,8.02,383,Portugal
258,4,3,aug,sat,94.2,117.2,21.4,44,2.7,0,0.68,617,Portugal
259,3,4,aug,sat,91.8,170.9,20.6,59,0.9,0,0,144,Portugal
260,7,4,aug,sat,91.8,170.9,23.7,40,1.8,0,1.38,313,Portugal
261,2,4,aug,mon,93.6,97.9,28.3,32,4,0,8.85,396,Portugal
262,3,4,aug,fri,91.6,112.4,11.2,84,7.6,0,3.3,396,Portugal
263,2,4,aug,fri,91.6,112.4,21.4,42,3.1,0,4.25,785,Portugal
264,6,3,aug,fri,91.1,141.1,19.3,39,3.6,0,1.56,83,Portugal
265,4,4,aug,fri,94.3,167.6,21.8,53,3.1,0,6.54,932,Portugal
266,4,4,aug,tue,93.7,102.2,22.1,54,7.6,0,0.79,170,Portugal
267,6,5,aug,tue,94.3,131.7,19.4,55,4,0,0.17,467,Portugal
268,2,2,aug,tue,92.1,152.6,23.7,24,3.1,0,0,441,Portugal
269,3,4,aug,tue,92.1,152.6,21,32,3.1,0,0,232,Portugal
270,4,4,aug,tue,92.1,152.6,19.1,53,2.7,0,4.4,717,Portugal
271,2,2,aug,tue,92.1,152.6,21.8,56,3.1,0,0.52,874,Portugal
272,8,6,aug,tue,92.1,152.6,20.1,58,4.5,0,9.27,451,Portugal
273,2,5,aug,tue,92.1,152.6,20.2,47,4,0,3.09,469,Portugal
274,4,6,dec,sun,84.4,27.2,4.8,57,8.5,0,8.98,563,Portugal
275,8,6,dec,wed,84,27.8,5.1,61,8,0,11.19,984,Portugal
276,4,6,dec,thu,84.6,26.4,5.1,61,4.9,0,5.38,388,Portugal
277,4,4,dec,mon,85.4,25.4,4.6,21,8.5,0,17.85,444,Portugal
278,3,4,dec,mon,85.4,25.4,4.6,21,8.5,0,10.73,978,Portugal
279,4,4,dec,mon,85.4,25.4,4.6,21,8.5,0,22.03,520,Portugal
280,4,4,dec,mon,85.4,25.4,4.6,21,8.5,0,9.77,461,Portugal
281,4,6,dec,fri,84.7,26.7,2.2,59,4.9,0,9.27,894,Portugal
282,6,5,dec,tue,85.4,25.4,5.1,24,8.5,0,24.77,934,Portugal
283,6,3,feb,sun,84.9,27.5,4.2,51,4,0,0,163,Portugal
284,3,4,feb,wed,86.9,6.6,8.8,35,3.1,0,1.1,856,Portugal
285,5,4,feb,fri,85.2,4.9,7.5,46,8,0,24.24,452,Portugal
286,2,5,jul,sun,93.9,169.7,23.4,40,6.3,0,0,463,Portugal
287,7,6,jul,wed,91.2,183.1,12.6,90,7.6,0.2,0,288,Portugal
288,7,4,jul,sat,91.6,104.2,22.1,49,2.7,0,0,50,Portugal
289,7,4,jul,sat,91.6,104.2,24.2,32,1.8,0,0,632,Portugal
290,7,4,jul,sat,91.6,104.2,24.3,30,1.8,0,0,850,Portugal
291,2,5,jul,sat,91.6,104.2,18.7,53,1.8,0,0,121,Portugal
292,9,4,jul,sat,91.6,104.2,25.3,39,0.9,0,8,72,Portugal
293,4,5,jul,fri,91.6,100.2,22.9,40,1.3,0,2.64,604,Portugal
294,7,6,jul,tue,93.1,180.4,26.9,28,5.4,0,86.45,429,Portugal
295,8,6,jul,tue,92.3,88.8,17.1,67,3.6,0,6.57,745,Portugal
296,7,5,jun,sun,93.1,180.4,22.2,48,1.3,0,0,980,Portugal
297,6,4,jun,sun,90.4,89.5,14.3,46,1.8,0,0.9,345,Portugal
298,8,6,jun,sun,90.4,89.5,15.4,45,2.2,0,0,651,Portugal
299,8,6,jun,wed,91.2,147.8,19.6,43,4.9,0,0,928,Portugal
300,6,5,jun,sat,53.4,71,10.6,90,2.7,0,0,107,Portugal
301,6,5,jun,mon,90.4,93.3,20.7,25,4.9,0,0,549,Portugal
302,6,5,jun,mon,90.4,93.3,19.1,39,5.4,0,3.52,234,Portugal
303,3,6,jun,fri,91.1,94.1,19.2,38,4.5,0,0,589,Portugal
304,3,6,jun,fri,91.1,94.1,19.2,38,4.5,0,0,994,Portugal
305,6,5,may,sat,85.1,28,11.3,94,4.9,0,0,367,Portugal
306,1,4,sep,sun,89.6,84.1,19,52,2.2,0,0,630,Portugal
307,7,4,sep,sun,89.6,84.1,17.1,53,5.4,0,0.41,966,Portugal
308,3,4,sep,sun,89.6,84.1,23.8,35,3.6,0,5.18,224,Portugal
309,2,4,sep,sun,92.4,105.8,16,45,1.8,0,0,826,Portugal
310,2,4,sep,sun,92.4,105.8,24.9,27,2.2,0,0,277,Portugal
311,7,4,sep,sun,92.4,105.8,25.3,27,2.7,0,0,366,Portugal
312,6,3,sep,sun,92.4,105.8,24.8,28,1.8,0,14.29,486,Portugal
313,2,4,sep,sun,50.4,46.2,12.2,78,6.3,0,0,757,Portugal
314,6,5,sep,wed,92.6,115.4,24.3,27,4.9,0,0,654,Portugal
315,4,4,sep,wed,92.6,115.4,19.7,41,1.8,0,1.58,543,Portugal
316,3,4,sep,wed,91.2,134.7,18.5,30,2.7,0,0,464,Portugal
317,4,5,sep,thu,92.4,96.2,18.6,24,5.8,0,0,699,Portugal
318,4,4,sep,thu,92.4,96.2,19.2,24,4.9,0,3.78,450,Portugal
319,6,5,sep,thu,92.8,119,21.6,27,2.2,0,0,911,Portugal
320,5,4,sep,thu,92.8,119,21.6,28,6.3,0,4.41,861,Portugal
321,6,3,sep,thu,92.8,119,18.9,34,7.2,0,34.36,941,Portugal
322,1,4,sep,thu,92.8,119,16.8,28,4,0,7.21,53,Portugal
323,6,5,sep,thu,92.8,119,16.8,28,4,0,1.01,907,Portugal
324,3,5,sep,thu,90.7,136.9,12.9,39,2.7,0,2.18,89,Portugal
325,6,5,sep,thu,88.1,53.3,13.7,56,1.8,0,4.42,938,Portugal
326,1,4,sep,sat,92.2,102.3,24.2,27,3.1,0,0,948,Portugal
327,5,4,sep,sat,92.2,102.3,24.1,27,3.1,0,0,958,Portugal
328,6,5,sep,sat,92.2,102.3,21.2,32,2.2,0,0,852,Portugal
329,6,5,sep,sat,92.2,102.3,19.7,35,1.8,0,0,116,Portugal
330,4,3,sep,sat,92.2,102.3,23.5,27,4,0,3.33,899,Portugal
331,3,3,sep,sat,92.2,102.3,24.2,27,3.1,0,6.58,675,Portugal
332,7,4,sep,sat,91.2,124.4,21.5,28,4.5,0,15.64,384,Portugal
333,4,4,sep,sat,91.2,124.4,17.1,41,2.2,0,11.22,104,Portugal
334,1,4,sep,mon,92.1,87.7,18.1,54,3.1,0,2.13,524,Portugal
335,2,3,sep,mon,91.6,108.4,18,51,5.4,0,0,917,Portugal
336,4,3,sep,mon,91.6,108.4,9.8,86,1.8,0,0,233,Portugal
