X,Y,DC,ISI,month,day,FFMC,DMC,temp,RH,wind,rain,area,quarter
3,5,67.6,3.8,3,2,88.1,25.7,14.9,38,2.7,0.0,0.0,1
3,5,594.2,20.3,8,6,93.5,139.4,17.6,52,5.8,0.0,0.0,3
3,5,822.8,6.8,9,4,90.7,136.9,12.9,39,2.7,0.0,2.18,3
3,6,680.7,8.5,9,7,92.4,124.1,17.2,58,1.3,0.0,0.0,3
3,6,686.5,7.0,9,1,90.9,126.5,15.6,66,3.1,0.0,0.0,3
3,6,232.1,7.1,6,5,91.1,94.1,19.2,38,4.5,0.0,0.0,2
3,6,232.1,7.1,6,5,91.1,94.1,19.2,38,4.5,0.0,0.0,2
4,3,631.2,6.3,8,7,90.2,99.6,21.5,34,2.2,0.0,0.0,3
4,3,654.1,9.6,8,3,92.1,111.2,20.4,42,4.9,0.0,0.0,3
4,3,654.1,9.6,8,3,92.1,111.2,20.4,42,4.9,0.0,0.0,3
4,3,661.3,6.3,8,4,91.7,114.3,17.6,45,3.6,0.0,0.0,3
4,3,706.4,9.2,9,4,92.9,137.0,27.7,24,2.2,0.0,0.0,3
4,3,730.2,6.3,9,2,90.3,80.7,17.8,63,4.9,0.0,0.0,3
4,3,691.8,8.8,10,7,92.6,46.5,13.8,50,2.7,0.0,0.0,4
4,3,103.8,5.0,3,1,87.6,52.2,11.0,46,5.8,0.0,36.85,1
4,3,581.1,11.0,8,6,94.2,117.2,21.4,44,2.7,0.0,0.68,3
4,3,751.5,8.4,9,6,92.2,102.3,23.5,27,4.0,0.0,3.33,3
4,3,764.0,6.2,9,1,91.6,108.4,9.8,86,1.8,0.0,0.0,3
4,3,789.7,10.2,9,5,92.5,122.0,17.3,45,4.0,0.0,3.94,3
4,3,770.3,6.5,9,2,91.9,111.7,15.9,53,2.2,0.0,2.93,3
4,3,750.5,11.4,9,7,90.5,96.7,20.4,55,4.9,0.0,3.64,3
4,3,855.3,7.4,9,5,90.3,290.0,19.9,44,3.1,0.0,7.8,3
4,3,73.7,5.7,5,5,89.6,25.4,18.0,40,4.0,0.0,38.48,2
4,3,316.7,10.8,6,4,93.0,103.8,26.4,35,2.7,0.0,10.08,2
4,3,395.0,9.9,7,4,93.5,85.3,27.2,28,1.3,0.0,1.76,3
4,3,423.4,14.7,7,7,93.7,101.3,26.1,45,4.0,0.0,7.36,3
4,3,560.0,9.5,7,4,93.2,114.4,30.2,22,4.9,0.0,0.0,3
4,3,689.1,20.0,8,3,94.5,139.4,28.9,29,4.9,0.0,49.59,3
4,3,665.6,1.9,8,7,81.6,56.7,27.8,32,2.7,0.0,6.44,3
4,4,67.6,3.8,3,2,88.1,25.7,14.1,43,2.7,0.0,0.0,1
4,4,366.7,1.5,7,2,79.5,60.6,23.3,37,3.1,0.0,0.0,3
4,4,624.2,8.9,8,6,90.2,96.9,18.4,42,6.7,0.0,0.0,3
4,4,647.1,17.0,8,2,94.8,108.3,16.6,54,5.4,0.0,0.0,3
4,4,698.6,7.1,9,6,92.5,88.0,19.6,48,2.7,0.0,0.0,3
4,4,735.7,6.2,9,3,90.1,82.9,12.9,74,4.9,0.0,0.0,3
4,4,64.7,4.1,3,1,87.2,23.9,11.8,35,1.8,0.0,0.0,1
4,4,103.8,5.0,3,1,87.6,52.2,11.0,46,5.8,0.0,0.0,1
4,4,706.4,9.2,9,4,92.9,137.0,20.8,17,1.3,0.0,0.0,3
4,4,704.4,4.8,9,7,89.7,90.0,17.8,64,1.3,0.0,0.0,3
4,4,57.3,2.8,3,5,85.9,19.5,13.7,43,5.8,0.0,0.0,1
4,4,686.5,7.0,9,1,90.9,126.5,17.7,39,2.2,0.0,3.07,3
4,4,686.9,6.7,10,6,90.6,43.7,18.4,25,3.1,0.0,24.23,4
4,4,80.8,7.8,3,6,91.7,35.8,17.0,27,4.9,0.0,28.66,1
4,4,80.8,7.8,3,6,91.7,35.8,17.0,27,4.9,0.0,28.66,1
4,4,680.7,8.5,9,7,92.4,124.1,16.9,60,1.3,0.0,29.48,3
4,4,728.6,8.1,9,7,93.5,149.3,22.9,39,4.9,0.0,48.55,3
4,4,699.6,9.2,9,3,92.9,133.3,26.4,21,4.5,0.0,88.49,3
4,4,85.3,2.3,4,5,83.0,23.3,16.7,20,3.1,0.0,0.0,2
4,4,684.4,13.0,8,5,94.3,167.6,21.8,53,3.1,0.0,6.54,3
4,4,550.3,14.6,8,2,93.7,102.2,22.1,54,7.6,0.0,0.79,3
4,4,658.2,14.3,8,2,92.1,152.6,19.1,53,2.7,0.0,4.4,3
4,4,349.7,2.6,12,1,85.4,25.4,4.6,21,8.5,0.0,17.85,4
4,4,349.7,2.6,12,1,85.4,25.4,4.6,21,8.5,0.0,22.03,4
4,4,349.7,2.6,12,1,85.4,25.4,4.6,21,8.5,0.0,9.77,4
4,4,777.1,8.8,9,3,92.6,115.4,19.7,41,1.8,0.0,1.58,3
4,4,739.4,8.6,9,4,92.4,96.2,19.2,24,4.9,0.0,3.78,3
4,4,795.3,8.5,9,6,91.2,124.4,17.1,41,2.2,0.0,11.22,3
4,4,745.3,9.6,9,5,92.1,99.0,15.4,53,6.3,0.0,7.31,3
4,4,745.3,9.6,9,5,92.1,99.0,20.8,35,4.9,0.0,13.06,3
4,4,745.3,9.6,9,5,92.1,99.0,20.8,35,4.9,0.0,1.26,3
4,4,605.8,17.7,8,2,95.1,141.3,19.4,71,7.6,0.0,46.7,3
4,4,605.8,17.7,8,3,95.1,141.3,20.6,58,1.3,0.0,0.0,3
4,4,605.8,17.7,8,3,95.1,141.3,28.7,33,4.0,0.0,0.0,3
4,4,624.1,13.8,8,4,95.8,152.0,32.4,21,4.5,0.0,0.0,3
4,4,671.2,14.3,8,2,96.1,181.1,20.7,69,4.9,0.4,0.0,3
4,5,77.5,9.0,3,5,91.7,33.3,17.2,26,4.5,0.0,0.0,1
4,5,97.8,12.5,3,5,91.2,48.3,15.8,27,7.6,0.0,0.0,1
4,5,692.3,15.9,9,5,94.3,85.1,17.7,37,3.6,0.0,0.0,3
4,5,57.3,2.8,3,5,85.9,19.5,12.7,52,6.3,0.0,0.0,1
4,5,74.3,7.5,3,4,91.4,30.7,18.2,29,3.1,0.0,0.0,1
4,5,631.2,6.3,8,7,90.2,99.6,21.4,33,3.1,0.0,0.0,3
4,5,698.6,7.1,9,6,92.5,88.0,20.3,45,3.1,0.0,0.0,3
4,5,709.9,7.1,9,1,88.6,91.8,17.4,56,5.4,0.0,0.0,3
4,5,699.6,9.2,9,3,92.9,133.3,24.3,25,4.0,0.0,9.41,3
4,5,706.4,9.2,9,4,92.9,137.0,21.5,15,0.9,0.0,11.06,3
4,5,706.4,9.2,9,4,92.9,137.0,22.1,34,1.8,0.0,14.57,3
4,5,699.6,9.2,9,3,92.9,133.3,19.4,19,1.3,0.0,31.72,3
4,5,674.4,8.6,9,6,92.5,121.1,17.7,25,3.1,0.0,154.88,3
4,5,466.3,6.3,7,5,91.6,100.2,22.9,40,1.3,0.0,2.64,3
4,5,739.4,8.6,9,4,92.4,96.2,18.6,24,5.8,0.0,0.0,3
4,5,812.1,12.5,9,2,91.1,132.3,15.9,38,5.4,0.0,1.75,3
4,5,812.1,12.5,9,2,91.1,132.3,16.4,27,3.6,0.0,0.0,3
4,5,825.1,7.1,9,7,91.0,276.3,13.8,77,7.6,0.0,0.0,3
4,5,664.5,8.1,8,7,92.0,203.2,10.4,75,0.9,0.0,0.0,3
4,5,171.4,0.0,1,7,18.7,1.1,5.2,100,0.9,0.0,0.0,1
4,5,56.9,3.5,2,7,85.0,9.0,10.1,62,1.8,0.0,51.78,1
4,5,55.0,2.9,2,6,84.7,8.2,14.2,46,4.0,0.0,0.0,1
4,5,690.0,18.0,8,3,95.2,217.7,23.4,49,5.4,0.0,6.43,3
4,5,803.3,5.6,8,4,89.4,266.2,17.4,54,3.1,0.0,0.0,3
4,5,661.8,16.8,8,1,96.2,175.5,32.6,26,3.1,0.0,2.77,3
4,6,87.2,0.8,2,6,68.2,21.5,15.4,40,2.7,0.0,0.0,1
4,6,64.7,4.1,3,1,87.2,23.9,14.0,39,3.1,0.0,0.0,1
4,6,102.2,9.6,3,7,89.3,51.3,10.6,46,4.9,0.0,0.0,1
4,6,685.2,17.9,9,4,93.7,80.9,17.6,42,3.1,0.0,0.0,3
4,6,728.6,8.1,9,7,93.5,149.3,28.3,26,3.1,0.0,64.1,3
4,6,353.5,6.8,12,7,84.4,27.2,4.8,57,8.5,0.0,8.98,4
4,6,352.0,2.0,12,4,84.6,26.4,5.1,61,4.9,0.0,5.38,4
4,6,352.6,4.1,12,5,84.7,26.7,2.2,59,4.9,0.0,9.27,4
5,4,724.3,9.2,9,1,91.8,78.5,19.1,38,2.7,0.0,0.0,3
5,4,77.5,9.0,3,5,91.7,33.3,15.6,25,6.3,0.0,0.0,1
5,4,614.5,9.0,8,2,88.8,147.3,17.3,43,4.5,0.0,0.0,3
5,4,713.9,13.9,9,5,93.3,141.2,27.6,30,1.3,0.0,0.0,3
5,4,86.6,6.2,3,1,90.1,39.7,13.2,40,5.4,0.0,0.95,1
5,4,692.3,15.9,9,5,94.3,85.1,20.1,47,4.9,0.0,1.46,3
5,4,699.6,9.2,9,3,92.9,133.3,21.9,35,1.8,0.0,2.57,3
5,4,48.3,3.9,2,7,86.8,15.6,12.4,53,2.2,0.0,6.38,1
5,4,700.7,13.8,8,7,91.8,175.1,25.7,39,5.4,0.0,0.09,3
5,4,15.8,6.3,2,5,85.2,4.9,7.5,46,8.0,0.0,24.24,1
5,4,783.5,7.5,9,4,92.8,119.0,21.6,28,6.3,0.0,4.41,3
5,4,751.5,8.4,9,6,92.2,102.3,24.1,27,3.1,0.0,0.0,3
5,4,745.3,9.6,9,5,92.1,99.0,10.1,75,3.6,0.0,0.0,3
5,4,745.3,9.6,9,5,92.1,99.0,12.8,64,3.6,0.0,1.64,3
5,4,745.3,9.6,9,5,92.1,99.0,10.1,75,3.6,0.0,3.71,3
5,4,698.6,13.9,8,4,94.8,222.4,20.3,42,2.7,0.0,0.0,3
5,4,458.8,11.9,7,3,93.7,101.3,19.3,39,7.2,0.0,7.73,3
5,4,723.1,10.1,8,7,93.6,235.1,24.1,50,4.0,0.0,0.0,3
5,4,855.3,7.4,9,5,90.3,290.0,16.2,58,3.6,0.0,0.0,3
5,4,25.6,12.3,4,7,91.0,14.6,17.6,27,5.8,0.0,0.0,2
5,4,605.8,17.7,8,2,95.1,141.3,24.1,43,6.3,0.0,2.0,3
5,4,605.8,17.7,8,2,95.1,141.3,26.4,34,3.6,0.0,16.4,3
5,4,752.6,7.1,8,5,91.0,166.9,21.1,71,7.6,1.4,2.17,3
5,5,80.8,7.8,3,6,91.7,35.8,15.1,27,5.4,0.0,0.0,1
5,5,30.6,8.0,3,4,90.9,18.9,11.6,48,5.4,0.0,0.0,1
5,5,100.7,10.7,8,7,94.0,47.9,17.3,80,4.5,0.0,0.0,3
5,6,692.3,15.9,9,3,94.3,85.1,25.9,24,4.0,0.0,0.0,3
5,6,686.5,7.0,9,1,90.9,126.5,14.7,70,3.6,0.0,0.0,3
5,6,100.4,7.8,3,6,90.6,50.1,15.1,64,4.0,0.0,13.99,1
5,6,613.0,7.6,8,7,91.6,181.3,24.3,33,3.6,0.0,3.63,3
6,3,721.4,8.1,9,6,93.4,145.4,30.2,24,2.7,0.0,0.0,3
6,3,728.6,8.1,9,7,93.5,149.3,22.8,39,3.6,0.0,0.0,3
6,3,692.3,15.9,9,5,94.3,85.1,25.4,24,3.6,0.0,0.0,3
6,3,709.9,7.1,9,1,88.6,91.8,11.2,78,7.6,0.0,0.0,3
6,3,706.8,5.8,9,5,88.6,69.7,20.6,37,1.8,0.0,0.0,3
6,3,718.3,7.8,9,7,91.7,75.6,17.7,39,3.6,0.0,0.0,3
6,3,724.3,9.2,9,1,91.8,78.5,21.2,32,2.7,0.0,0.0,3
6,3,730.2,6.3,9,2,90.3,80.7,18.2,62,4.5,0.0,0.0,3
6,3,669.1,6.7,10,2,90.6,35.4,21.7,24,4.5,0.0,0.0,4
6,3,100.4,7.8,3,6,90.6,50.1,15.2,31,8.5,0.0,1.94,1
6,3,43.5,3.8,4,3,88.0,17.2,15.2,51,2.7,0.0,0.0,2
6,3,621.7,6.3,8,4,91.6,138.1,18.9,41,3.1,0.0,10.34,3
6,3,629.1,7.1,8,5,91.1,141.1,19.3,39,3.6,0.0,1.56,3
6,3,353.5,3.4,2,7,84.9,27.5,4.2,51,4.0,0.0,0.0,1
6,3,758.1,9.9,9,7,92.4,105.8,24.8,28,1.8,0.0,14.29,3
6,3,783.5,7.5,9,4,92.8,119.0,18.9,34,7.2,0.0,34.36,3
6,3,764.0,6.2,9,1,91.6,108.4,23.0,34,2.2,0.0,56.04,3
6,3,807.1,7.5,9,1,91.5,130.1,20.6,37,1.8,0.0,0.0,3
6,3,807.1,7.5,9,1,91.5,130.1,12.2,66,4.9,0.0,6.1,3
